type,text,reading,meaning,note
sentence,數時之活과 朝菌蟪蛄를 不足爲喩어늘,수시지활과 조균혜고를 부족위유어늘,"여러 시진 동안 삶과 조균(아침에 났다가 저녁에 죽는 버섯, 벌레), 혜고(여름 한 철 울고 죽는 매미)를 족히 비유하기에 충분하지 않거늘",
sentence,焉可不自攝養而馳騁六情하며 汲汲沒沒追名逐利하며,언가불자섭양이치빙육정하며 급급몰몰추명축리하며,어찌 스스로 섭양하지 않고 육정으로 치달리며 분주하게 명(이름·명예)을 좇고 리(이익)를 좇으며,
sentence,千詐萬巧以求虛譽하여 沒齒而無厭乎아,천사만교이구허예하여 몰치이무염호아,천 가지의 속임과 만 가지의 기교로써 헛된 명예를 구하여 이가 없어지도록(죽을 때까지) 싫어하지 않는가,
sentence,故로 養性者는 知其如此하여,고로 양성자는 지기여차하여,고로 성을 기르는 사람은 그것이 이와 같음을 알아서,
sentence,於名於利에 若存若亡하며 於非名非利에도 亦若存若亡하니,어명어리에 약존약망하며 어비명비리에도 역약존약망하니,명예와 이익에도 마치 있는 듯 없는 듯하며 명예가 아닌 것과 이익이 아닌 것에도 마치 있는 듯 없는 듯 하니,
sentence,所以沒身不殆也라,소이몰신불태야라,몸이 없어질 때까지(죽을 때까지) 위태롭지 않은 까닭이다.,
sentence,余慨 時俗之多僻하야 皆放逸以殞亡 하여,여개시속지다벽하야 개방일이운망하여,내(화자)가 세속에 많이 치우친 것들이 모두 풀어져서 이로써 죽게 된 것을 안타까워하여,
sentence,聊因暇日에 粗述養性篇하여 用獎 人倫之道 하니,료인가일에 조술양성편하여 용장인륜지도하니,한가로운 날에 힘입어 양성편을 거칠게 써 이로써 인륜의 도를 권장하니,
sentence,好事君子는 與我同志焉이라,호사군자는 여아동지언이라,일을 삼가기를 좋아하는 군자는 나와 함께 뜻을 같이 한다.,
sentence,夫養性者는 欲所習以成性하나 性自爲善하니 不習無不利也라,부양성자는 욕소습이성성하나 성자위선하니 불습무불리야라,무릇 성을 기르는 사람은 익히는 바로써 본성을 이루고자 하나 그 성 자체가 선이 되니 연습하지 않더라도 이롭지 않음이 없다.,
sentence,性旣自善이면 內外百病이 自然不生하고,성기자선이면 내외백병이 자연불생하고,본성이 이미 스스로 선하다면 안팎의 모든 병이 저절로 생겨나지 않고,
sentence,禍亂災害도 亦無由作하니 此養性之大經也라,화란재해도 역무유작하니 차양성지대경야라,재난(질병)도 또한 그로 말미암아 일어남이 없을 것이니 이것이 본성을 기르는 큰 가르침이다.,
sentence,善養性者는 則治未病之病이라하니 是其義也라,선양성자는 즉치미병지병이라하니 시기의야라,성을 수행하는 것을 잘하는 사람은 곧 아직 병들지 않은 병을 치료한다 하니 이것이 그 뜻이다.,
sentence,故로 養性者는 不但餌藥餐霞요 其在兼於百行이니,고로 양성자는 불단이약손하요 기재겸어백행이니,고로 성을 잘 기르는 사람은 단지 이익손하(약을 먹고 도를 닦는 것)에 그치지 않고 백행(모든 선행)을 겸하는 데에 있으니,
sentence,百行이 周備하면 雖絶藥餌라도 足以遐年이나,백행이 주비하면 수절약이라도 족이하년이나,모든 선행이 두루 갖춰지면 약이를 끊더라도 이로써 수명을 늘리기에 충분하다.,
sentence,"德行이 不克하면 縱服玉液金丹,未能延壽라",덕행이 불극하면 종복옥액금단 미능연수라,덕행이 채워지지 않으면 옥액금단(좋은 약)을 얻달아 먹더라도 능히 수명을 늘리지 못한다.,
sentence,故로 夫子曰 善攝生者는 陸行에 不過虎兕라하니,고로 부자왈 선섭생자는 육행에 불과호시라하니,고로 노자 왈 섭생을 잘하는 사람은 길을 가는 데에 호랑이와 외뿔소(무서운 짐승)를 만나지 않는다 하니,
sentence,此則道德之祐也라,차즉도덕지우야라,이것이 도와 덕을 닦아 얻게 되는 복이다.,
sentence,豈假服餌而祈遐年哉아,기가복이이기하년재아,어찌 이(약)를 복용하는 것에 힘입어 장수하기를 빌겠는가,
sentence,聖人이 所以制藥餌者는 以救過行之人也라,성인이 소이제약이자는 이구과행지인야라,성인이 약이를 만든 까닭은 잘못된 행동을 하는 사람을 구제하기 위해서이다.,
sentence,故로 愚者는 抱病歷年而不修一行하야 纏痾沒齒에 終無悔心이라,고로 우자는 포병력년이불수일행하야 전아몰치에 종무회심이라,고로 어리석은 사람은 병을 안은 지 여러 해가 지나도록 한 가지의 덕행도 수양하지 않아서 병에 얽혀 죽을 때까지 끝내 후회하는 마음이 없다.,
sentence,此其所以岐和長逝하고 彭跗永歸니 良有以也라,차기소이기화장서하고 팽부영귀니 양유이야라,기백과 의화가 장수하고 죽었고 팽조와 유부도 오래 있다가 돌아간 까닭이니 진실로 까닭이 있다.,"岐和(기백·의화), 彭跗(팽조·유부): 유명한 의사들"
paragraph,扁鵲이 云 黃帝說에 書夜로 漏下水는 百刻이라하니 凡一刻에 人이 百三十五息이요 十刻에 一千三百五十息이요 百刻에 一萬三千五百息이니 人之居世數息之間이라하니 信哉라,편작이 운 황제설에 주야로 누하수는 백각이라하니 범일각에 인이 백삼십오식이요 십각에 일천삼백오십식이요 백각에 일만삼천오백식이니 인지거세수식지간이라하니 신재라,"편작이 말하기를 황제가 말한 것에 하루 밤낮으로 물을 똑똑 떨어뜨린 것을 백 각이라 하니, 무릇 1각에 사람이 135회 숨을 쉬며, 10각에 1350회 숨을 쉬며, 100각에 13500회 숨을 쉬니, 사람이 세상에 거처함이 여러 번 숨 쉬는 사이라 하니 믿을 만하구나.",호흡 횟수로 본 인생의 짧음
paragraph,吾常思컨대 一日一夜에 有十二時하니 十日十夜에 百二十時요 百日百夜에 一千二百時요 千日千夜에 一萬二千時요 萬日萬夜에 一十二萬時니 此爲三十年이라 若長壽者가 九十年이면 只得三十六萬時니 百年之內의 斯須之間이라,오상사컨대 일일일야에 유십이시하니 십일십야에 백이십시요 백일백야에 일천이백시요 천일천야에 일만이천시요 만일만야에 일십이만시니 차위삼십년이라 약장수자가 구십년이면 지득삼십육만시니 백년지내의 사수지간이라,"내가 늘 생각하건대 하루 밤낮으로 12시진이 있으니 열흘은 120시진이요, 백 일에 1200시진이요, 천 일에 12000시진이요, 만 일에 120000시진이니 이것이 30년이 된다. 만약 장수하는 사람이 90년이라 한다면 겨우 36만 시진을 얻은 것이니 백년 안의 사수지간이다.",시간 계산
paragraph,數時之活과 朝菌蟪蛄를 不足爲喩어늘 焉可不自攝養而馳騁六情하며 汲汲沒沒追名逐利하며 千詐萬巧以求虛譽하여 沒齒而無厭乎아,수시지활과 조균혜고를 부족위유어늘 언가불자섭양이치빙육정하며 급급몰몰추명축리하며 천사만교이구허예하여 몰치이무염호아,"여러 시진 동안 삶과 조균, 혜고를 족히 비유하기에 충분하지 않거늘 어찌 스스로 섭양하지 않고 육정으로 치달리며 분주하게 명예와 이익을 좇으며 천 가지 속임과 만 가지 기교로써 헛된 명예를 구하여 죽을 때까지 싫어하지 않는가.",명리 추구 경계
paragraph,故로 養性者는 知其如此하여 於名於利에 若存若亡하며 於非名非利에도 亦若存若亡하니 所以沒身不殆也라,고로 양성자는 지기여차하여 어명어리에 약존약망하며 어비명비리에도 역약존약망하니 소이몰신불태야라,"고로 성을 기르는 사람은 그것이 이와 같음을 알아서 명예와 이익에도 마치 있는 듯 없는 듯하며 명예가 아닌 것과 이익이 아닌 것에도 마치 있는 듯 없는 듯 하니, 몸이 없어질 때까지 위태롭지 않은 까닭이다.",양성자의 태도
paragraph,余慨 時俗之多僻하야 皆放逸以殞亡 하여 聊因暇日에 粗述養性篇하여 用獎 人倫之道 하니 好事君子는 與我同志焉이라,여개시속지다벽하야 개방일이운망하여 료인가일에 조술양성편하여 용장인륜지도하니 호사군자는 여아동지언이라,"내가 세속에 많이 치우친 것들이 모두 풀어져서 이로써 죽게 된 것을 안타까워하여 한가로운 날에 힘입어 양성편을 거칠게 써 이로써 인륜의 도를 권장하니, 일을 삼가기를 좋아하는 군자는 나와 함께 뜻을 같이 한다.",양성편을 쓴 이유
paragraph,夫養性者는 欲所習以成性하나 性自爲善하니 不習無不利也라 性旣自善이면 內外百病이 自然不生하고 禍亂災害도 亦無由作하니 此養性之大經也라,부양성자는 욕소습이성성하나 성자위선하니 불습무불리야라 성기자선이면 내외백병이 자연불생하고 화란재해도 역무유작하니 차양성지대경야라,"무릇 성을 기르는 사람은 익히는 바로써 본성을 이루고자 하나 그 성 자체가 선이 되니 연습하지 않더라도 이롭지 않음이 없다. 본성이 이미 스스로 선하다면 안팎의 모든 병이 저절로 생겨나지 않고 재난도 또한 그로 말미암아 일어남이 없을 것이니 이것이 본성을 기르는 큰 가르침이다.",본성 수양의 효과
paragraph,"善養性者는 則治未病之病이라하니 是其義也라 故로 養性者는 不但餌藥餐霞요 其在兼於百行이니 百行이 周備하면 雖絶藥餌라도 足以遐年이나 德行이 不克하면 縱服玉液金丹,未能延壽라",선양성자는 즉치미병지병이라하니 시기의야라 고로 양성자는 불단이약손하요 기재겸어백행이니 백행이 주비하면 수절약이라도 족이하년이나 덕행이 불극하면 종복옥액금단 미능연수라,"성을 수행하는 것을 잘하는 사람은 곧 아직 병들지 않은 병을 치료한다 하니 이것이 그 뜻이다. 고로 성을 잘 기르는 사람은 단지 이익손하에 그치지 않고 백행을 겸하는 데에 있으니, 모든 선행이 두루 갖춰지면 약이를 끊더라도 수명을 늘리기에 충분하나 덕행이 채워지지 않으면 옥액금단을 먹더라도 능히 수명을 늘리지 못한다.",약보다 덕행이 중요함
paragraph,故로 夫子曰 善攝生者는 陸行에 不過虎兕라하니 此則道德之祐也라 豈假服餌而祈遐年哉아 聖人이 所以制藥餌者는 以救過行之人也라,고로 부자왈 선섭생자는 육행에 불과호시라하니 차즉도덕지우야라 기가복이이기하년재아 성인이 소이제약이자는 이구과행지인야라,"고로 노자 왈 섭생을 잘하는 사람은 길을 가는 데에 호랑이와 외뿔소를 만나지 않는다 하니 이것이 도와 덕을 닦아 얻게 되는 복이다. 어찌 약을 복용하는 것에 힘입어 장수하기를 빌겠는가. 성인이 약이를 만든 까닭은 잘못된 행동을 하는 사람을 구제하기 위해서이다.",약이의 의미
paragraph,故로 愚者는 抱病歷年而不修一行하야 纏痾沒齒에 終無悔心이라 此其所以岐和長逝하고 彭跗永歸니 良有以也라,고로 우자는 포병력년이불수일행하야 전아몰치에 종무회심이라 차기소이기화장서하고 팽부영귀니 양유이야라,"고로 어리석은 사람은 병을 안은 지 여러 해가 지나도록 한 가지의 덕행도 수양하지 않아서 병에 얽혀 죽을 때까지 끝내 후회하는 마음이 없다. 기백과 의화가 장수하고 죽었고 팽조와 유부도 오래 있다가 돌아간 까닭이니 진실로 까닭이 있다.",결론
