type,text,reading,meaning,note
sentence,生而勿殺 予而勿奪 賞而勿罰 此春氣之應養生之道也,생이물살 여이물탈 상이물벌 차춘기지응양생지도야,살리되 죽이지 말고 주되 빼앗지 말고 상 주되 벌주지 말아라 이것이 봄에 생을 기르는 도에 응하는 것이다,
sentence,逆之則傷肝 夏爲寒變 奉長者少,역지즉상간 하위한변 봉장자소,그것을 거스른다면 곧 간이 상하고 여름철에 속이 차가워지고 장을 받드는 경우가 적다,
sentence,夏三月 此謂蕃秀 天地氣交 萬物華實,하삼월 차위번수 천지기교 만물화실,여름 세 달은 번수라 하니 천지의 기의 교류가 이루어지고 만물이 꽃 피고 열매를 맺는다,
sentence,夜臥早起 無厭於日 使志無怒 使華英成秀,야와조기 무염어일 사지무노 사화영성수,밤에(늦게) 자고 일찍 일어나고 태양을 싫어하지 말고 의지로 하여금 꺾이지 않게 하고 꽃으로 하여금 이삭이 생기게 한다,
sentence,使氣得泄 若所愛在外 此夏氣之應養長之道也,사기득설 약소애재외 차하기지응양장지도야,기로 하여금 새어나가게 하고(땀을 내라) 마치 아끼는 바가 밖에 있는 것처럼 해라 이것이 여름에 장을 기르는 도에 응하는 것이다,
sentence,逆之則傷心 秋爲痎瘧 奉收者少 冬至重病,역지즉상심 추위해학 봉수자소 동지중병,그것을 거스른다면 곧 심이 상하고 가을에 학질을 앓게 되고 수를 받드는 경우가 적고 겨울에 위중한 병에 이르게 된다,
sentence,秋三月 此謂容平 天氣以急 地氣以明,추삼월 차위용평 천기이급 지기이명,가을 세 달은 용평이라 하니 천기는 급해지고 지기는 밝아진다,
sentence,早臥早起 與鷄俱興 使志安寧 以緩秋刑 收斂神氣,조와조기 여계구흥 사지안녕 이완추형 수렴신기,일찍 자고 일찍 일어나고 닭과 함께 일어나고 의지로 하여금 편안하게 하고 이로써 추형을 느슨하게 하고 신기를 잘 거둬들여야 한다,
sentence,使秋氣平 無外其志 使肺氣淸 此秋氣之應養收之道也,사추기평 무외기지 사폐기청 차추기지응양수지도야,추기로 하여금 평탄하게 하고 그 의지를 밖으로 내세우지 말고 폐기로 하여금 맑게 해라 이것이 추기가 수를 기르는 도에 응하는 것이다,
sentence,逆之則傷肺 冬爲飧泄 奉藏者少,역지즉상폐 동위손설 봉장자소,그것을 거스른다면 곧 폐가 상하고 겨울에 손설(설사하는 병)이 되고 장을 받드는 경우가 적다,
sentence,冬三月 此謂閉藏 水冰地坼 無擾乎陽,동삼월 차위폐장 수빙지탁 무요호양,겨울 세 달은 폐장이라 하니 물이 얼고 땅이 갈리지니 양을 흔들지 말라,
sentence,早臥晩起 必待日光 使志若伏若匿 若有私意 若已有得,조와만기 필대일광 사지약복약닉 약유사의 약이유득,일찍 자고 늦게 일어나고 반드시 햇볕을 기다리고 의지로 하여금 마치 엎드린 것처럼 하고 마치 숨은 것처럼 해라,
sentence,去寒就溫 無泄皮膚 使氣亟奪 此冬氣之應養藏之道也,거한취온 무설피부 사기극탈 차동기지응양장지도야,추운 곳에서 멀어지고 따뜻한 곳으로 나아가고 피부를 새어나가게 해 기로 하여금 빼앗기도록 하지 말아야 한다 이것이 겨울 기운이 장을 기르는 도에 응하는 것이다,
sentence,逆之則傷腎 春爲痿厥 奉生者少,역지즉상신 춘위위궐 봉생자소,그것을 거스른다면 곧 신이 상하고 봄에 위궐(손발에 힘이 없고 싸늘해지는 병)이 생기고 생을 받드는 경우가 적다,
paragraph,春三月 此謂發陳 天地俱生 萬物以榮 夜臥早起 廣步於庭 被髮緩形 以使志生 生而勿殺 予而勿奪 賞而勿罰 此春氣之應養生之道也 逆之則傷肝 夏爲寒變 奉長者少,춘삼월 차위발진 천지구생 만물이영 야와조기 광보어정 피발완형 이사지생 생이물살 여이물탈 상이물벌 차춘기지응양생지도야 역지즉상간 하위한변 봉장자소,봄철 세 달은 발진이라 하니 천지가 모두 생겨나고 만물이 이로써 영화롭다 밤에 자고 일찍 일어나야 하고 뜰에서 걷고 동여맨 옷과 머리카락을 느슨하게 해 의지로 하여금 생겨나게 한다 살리되 죽이지 말고 주되 빼앗지 말고 상 주되 벌주지 말아라 그것을 거스르면 간이 상하고 여름철에 속이 차가워진다,봄
paragraph,夏三月 此謂蕃秀 天地氣交 萬物華實 夜臥早起 無厭於日 使志無怒 使華英成秀 使氣得泄 若所愛在外 此夏氣之應養長之道也 逆之則傷心 秋爲痎瘧 奉收者少 冬至重病,하삼월 차위번수 천지기교 만물화실 야와조기 무염어일 사지무노 사화영성수 사기득설 약소애재외 차하기지응양장지도야 역지즉상심 추위해학 봉수자소 동지중병,여름 세 달은 번수라 하니 천지의 기가 교류하고 만물이 꽃 피고 열매를 맺는다 늦게 자고 일찍 일어나고 태양을 싫어하지 말고 의지로 하여금 꺾이지 않게 하고 땀을 내라 그것을 거스르면 심이 상하고 가을에 학질을 앓고 겨울에 위중한 병에 이르게 된다,여름
paragraph,秋三月 此謂容平 天氣以急 地氣以明 早臥早起 與鷄俱興 使志安寧 以緩秋刑 收斂神氣 使秋氣平 無外其志 使肺氣淸 此秋氣之應養收之道也 逆之則傷肺 冬爲飧泄 奉藏者少,추삼월 차위용평 천기이급 지기이명 조와조기 여계구흥 사지안녕 이완추형 수렴신기 사추기평 무외기지 사폐기청 차추기지응양수지도야 역지즉상폐 동위손설 봉장자소,가을 세 달은 용평이라 하니 천기는 급해지고 지기는 밝아진다 일찍 자고 일찍 일어나고 닭과 함께 일어나고 의지로 하여금 편안하게 하고 추형을 느슨하게 하고 신기를 거둬들여야 한다 폐기로 하여금 맑게 해라 그것을 거스르면 폐가 상하고 겨울에 손설이 된다,가을
paragraph,冬三月 此謂閉藏 水冰地坼 無擾乎陽 早臥晩起 必待日光 使志若伏若匿 若有私意 若已有得 去寒就溫 無泄皮膚 使氣亟奪 此冬氣之應養藏之道也 逆之則傷腎 春爲痿厥 奉生者少,동삼월 차위폐장 수빙지탁 무요호양 조와만기 필대일광 사지약복약닉 약유사의 약이유득 거한취온 무설피부 사기극탈 차동기지응양장지도야 역지즉상신 춘위위궐 봉생자소,겨울 세 달은 폐장이라 하니 물이 얼고 땅이 갈라지니 양을 흔들지 말라 일찍 자고 늦게 일어나고 반드시 햇볕을 기다리고 의지로 하여금 엎드린 것처럼 숨은 것처럼 해라 추운 곳에서 따뜻한 곳으로 나아가고 피부로 기가 새어나가지 않게 해라 그것을 거스르면 신이 상하고 봄에 위궐이 생긴다,겨울
